chinese,pinyin,english,thai
压差开关,yāchā kāiguān,Differential Pressure Switch,สวิตช์ตรวจจับความดันต่าง (differential pressure switch)
干蒸汽加湿器,gānzhēngqì jiāshīqì,Dry Steam Humidifier,เครื่องเพิ่มความชื้นแบบไอน้ำแห้ง (dry steam humidifier)
电极式加湿器,diànjí shì jiāshīqì,Electrode Humidifier,เครื่องเพิ่มความชื้นแบบอิเล็กโทรด (electrode humidifier)
过滤干燥器,guòlǜ gānzàoqì,Filter Dryer,ตัวกรองและดูดความชื้นสารทำความเย็น (filter dryer)
楼层功能分区,lóucéng gōngnéng fēnqū,Floor Functional Zone,โซนพื้นที่ตามฟังก์ชันของชั้นอาคาร
新风热交换段 (板式/转轮式),xīn fēng rè jiāo huàn duàn,Fresh Air Heat Exchange Section (plate/rotary),ส่วนแลกเปลี่ยนความร้อนของอากาศบริสุทธิ์ (แบบแผ่น/แบบล้อหมุน)
新风加热段,xīn fēng jiā rè duàn,Fresh Air Heating Section,ส่วนให้ความร้อนของอากาศบริสุทธิ์
新风加湿段,xīn fēng jiā shī duàn,Fresh Air Humidification Section,ส่วนเพิ่มความชื้นของอากาศบริสุทธิ์
新风预冷/除湿段,xīn fēng yù lěng / chú shī duàn,Fresh Air Pre-cooling/Dehumidification Section,ส่วนพรีคูล/ลดความชื้นของอากาศบริสุทธิ์
换热芯 (错流式),huàn rè xīn,"Heat Exchange Core (cross-flow, 换热芯)",แกนแลกเปลี่ยนความร้อนแบบไขว้ทิศทาง
换热芯体（错流式）,huànrè xīntǐ (cuòliúshì),Heat Exchanger Core (Cross-Flow),แกนแลกเปลี่ยนความร้อนแบบ cross-flow
热管空调,règuǎn kōngtiáo,Heat Pipe Air Conditioning,เครื่องปรับอากาศแบบท่อความร้อน (heat pipe air conditioning)
背板式热管空调,bèi bǎn shì rè guǎn kōng tiáo,Heat Pipe Backplane AC,เครื่องปรับอากาศแบบ heat pipe ติดผนังหลังตู้แร็ค
热回收装置,rè huíshōu zhuāngzhì,Heat Reclamation Device,อุปกรณ์นำความร้อนกลับมาใช้ใหม่ (heat reclamation/recovery)
显热量大,xiǎnrèliàng dà,High Sensible Heat Load,ภาระความร้อนสัมผัส (sensible heat) สูง
高压微雾加湿器,gāoyā wéiwù jiāshīqì,High-Pressure Micro-Mist Humidifier,เครื่องเพิ่มความชื้นแบบละอองไอน้ำแรงดันสูง (high-pressure micro-mist)
高压喷雾加湿器,gāo yā pēn wù jiā shī qì,High-pressure Spray Humidifier,เครื่องเพิ่มความชื้นแบบพ่นละอองแรงดันสูง
柜式空调（机柜内空调）,guìshì kōngtiáo (jīguì nèi kōngtiáo),In-Cabinet Air Conditioner,เครื่องปรับอากาศติดตั้งภายในตู้แร็ค (in-cabinet AC)
独立房间,dúlì fángjiān,"Independent Room (small, air-cooled, air-cooled-only tier)",ห้องแยกอิสระ (independent room)
间接接触式空气处理装置,jiànjiē jiēchù shì kōngqì chǔlǐ zhuāngzhì,Indirect-Contact Air Processing Device,อุปกรณ์ประมวลผลอากาศแบบสัมผัสทางอ้อม (indirect-contact)
间接接触式空气处理设备 (换热器),jiàn jiē jiē chù shì kōng qì chǔ lǐ shè bèi,Indirect-contact Air Treatment Equipment (heat exchangers),อุปกรณ์ปรับสภาพอากาศแบบสัมผัสทางอ้อม (heat exchanger)
工业空调,gōngyè kōngtiáo,Industrial Air Conditioner,เครื่องปรับอากาศอุตสาหกรรม (industrial air conditioner)
红外线加湿器,hóngwàixiàn jiāshīqì,Infrared Humidifier,เครื่องเพิ่มความชื้นแบบอินฟราเรด (infrared humidifier)
百叶窗（风口）,bǎiyèchuāng (fēngkǒu),Louver (Air Vent),ช่องลม/บานเกล็ด (louver)
潜热量小,qiánrèliàng xiǎo,Low Latent Heat Load,ภาระความร้อนแฝง (latent heat) ต่ำ
低温启动套件,dī wēn qǐ dòng tào jiàn,Low-Temperature Startup Kit,ชุดอุปกรณ์สตาร์ทเครื่องในสภาพอากาศเย็นจัด
中效过滤器 (F5-F8),zhōng xiào guò lǜ qì,Medium Filter (F5-F8),แผ่นกรองปานกลาง (F5-F8)
NetCol500-A026,NetCol500-A026,NetCol500-A026,รุ่น NetCol500-A026 (Huawei NetCol500)
NetCol500-A032,NetCol500-A032,NetCol500-A032,รุ่น NetCol500-A032 (Huawei NetCol500)
NetCol500-A036,NetCol500-A036,NetCol500-A036,รุ่น NetCol500-A036 (Huawei NetCol500)
NetCol500-A038,NetCol500-A038,NetCol500-A038,รุ่น NetCol500-A038 (Huawei NetCol500)
NetCol500-A072,NetCol500-A072,NetCol500-A072,รุ่น NetCol500-A072 (Huawei NetCol500)
NetCol500-A088,NetCol500-A088,NetCol500-A088,รุ่น NetCol500-A088 (Huawei NetCol500)
NetCol5000-A系列,NetCol5000-A xìliè,NetCol5000-A Series,ผลิตภัณฑ์ตระกูล NetCol5000-A
NetCol5000-A/C系列 行级精密空调(11-80kW),NetCol5000-A/C xì liè,"NetCol5000-A/C Series (Row-level precision AC, 11-80kW)",NetCol5000-A/C เครื่องปรับอากาศแม่นยำระดับแถว (11-80 กิโลวัตต์)
NetCol5000-A011,NetCol5000-A011,NetCol5000-A011,รุ่น NetCol5000-A011 (Huawei precision AC)
NetCol5000-A020,NetCol5000-A020,NetCol5000-A020,รุ่น NetCol5000-A020 (Huawei precision AC)
NetCol5000-A025,NetCol5000-A025,NetCol5000-A025,รุ่น NetCol5000-A025 (Huawei precision AC)
NetCol5000-A035,NetCol5000-A035,NetCol5000-A035,รุ่น NetCol5000-A035 (Huawei precision AC)
NetCol5000-A042,NetCol5000-A042,NetCol5000-A042,รุ่น NetCol5000-A042 (Huawei precision AC)
NetCol5000-A050,NetCol5000-A050,NetCol5000-A050,รุ่น NetCol5000-A050 (Huawei precision AC)
NetCol5000-C系列,NetCol5000-C xìliè,NetCol5000-C Series,ผลิตภัณฑ์ตระกูล NetCol5000-C
NetCol5000-C030,NetCol5000-C030,NetCol5000-C030,รุ่น NetCol5000-C030 (Huawei precision AC)
NetCol5000-C065,NetCol5000-C065,NetCol5000-C065,รุ่น NetCol5000-C065 (Huawei precision AC)
NetCol8000-A系列,NetCol8000-A xìliè,NetCol8000-A Series,ผลิตภัณฑ์ตระกูล NetCol8000-A
NetCol8000-A/C系列 房间级精密空调(50-253kW),NetCol8000-A/C xì liè,"NetCol8000-A/C Series (Room-level precision AC, 50-253kW)",NetCol8000-A/C เครื่องปรับอากาศแม่นยำระดับห้อง (50-253 กิโลวัตต์)
NetCol8000-C系列,NetCol8000-C xìliè,NetCol8000-C Series,ผลิตภัณฑ์ตระกูล NetCol8000-C
NetCol8000-E系列,NetCol8000-E xìliè,NetCol8000-E Series,ผลิตภัณฑ์ตระกูล NetCol8000-E (indirect evaporative)
NetCol8000-E220,NetCol8000-E220,NetCol8000-E220,รุ่น NetCol8000-E220
喷嘴（间接蒸发空调）,pēnzuǐ (jiànjiē zhēngfā kōngtiáo),Nozzle (Indirect Evaporative AC),หัวฉีด (nozzle) ในระบบ indirect evaporative cooling
其他出风口类型 (旋流/条缝/喷口),qí tā chū fēng kǒu lèi xíng,"Other Air Outlets (swirl, slot, nozzle)",ประเภทช่องลมออกแบบอื่นๆ (สวิงกิ้ง/ช่องเรียว/หัวฉีด)
其他风口（旋流、条形、喷口）,"qítā fēngkǒu (xuánliú, tiáoxíng, pēnkǒu)","Other Air Vents (Swirl, Striped, Nozzle)","ช่องลมชนิดอื่น (แบบหมุนวน, แบบแถบ, แบบหัวฉีด)"
预冷/除湿装置,yùlěng/chúshī zhuāngzhì,Pre-Cooling/Dehumidification Device,อุปกรณ์ลดอุณหภูมิ/ลดความชื้นล่วงหน้า (pre-cooling/dehumidification)
制冷循环,zhìlěng xúnhuán,Refrigeration Cycle,วัฏจักรการทำความเย็น (refrigeration cycle)
制冷除湿机,zhìlěng chúshījī,Refrigeration Dehumidifier,เครื่องลดความชื้นแบบใช้ระบบทำความเย็น (refrigeration dehumidifier)
转轮除湿机,zhuànlún chúshījī,Rotary Dehumidifier,เครื่องลดความชื้นแบบล้อหมุน (rotary dehumidifier)
显热比,xiǎnrèbǐ,Sensible Heat Ratio,"อัตราส่วนความร้อนสัมผัส (sensible heat ratio, SHR)"
减震管,jiǎnzhèn guǎn,Shock-Absorbing Pipe,ท่อดูดซับแรงสั่นสะเทือน (shock-absorbing pipe)
单风机NetCol500系列,dān fēngjī NetCol500 xìliè,Single-Fan NetCol500 Series,ผลิตภัณฑ์ตระกูล NetCol500 แบบพัดลมเดี่ยว
温湿度、洁净度要求严格,"wēnshīdù, jiéjìngdù yāoqiú yángé",Strict Temperature/Humidity/Cleanliness Requirements,ข้อกำหนดด้านอุณหภูมิ ความชื้น และความสะอาดที่เข้มงวด
表面式冷却器,biǎomiànshì lěngquèqì,Surface Air Cooler,เครื่องแลกเปลี่ยนความเย็นแบบผิวสัมผัส (surface air cooler)
表面式换热器 (加热器/冷却器),biǎo miàn shì huàn rè qì,Surface Heat Exchanger (Heater/Cooler),เครื่องแลกเปลี่ยนความร้อนแบบพื้นผิว (ฮีทเตอร์/คูลเลอร์)
节流装置（膨胀阀）,jiéliú zhuāngzhì (péngzhàng fá),Throttling Device (Expansion Valve),อุปกรณ์ปรับลดความดัน (throttling device / expansion valve)
两通阀（冷冻水空调）,liǎngtōng fá (lěngdòngshuǐ kōngtiáo),Two-Way Valve (Chilled Water AC),วาล์วสองทาง (two-way valve) สำหรับระบบ chilled water
通风地板,tōngfēng dìbǎn,Vented Floor,พื้นยกระบายอากาศ (vented/perforated raised floor)
湿膜加湿器,shīmó jiāshīqì,Wet Film Humidifier,เครื่องเพิ่มความชื้นแบบแผ่นเปียก (wet film humidifier)
机柜选型标准,jīguì xuǎnxíng biāozhǔn,Cabinet Selection Criteria,เกณฑ์การเลือกตู้แร็ค (cabinet selection criteria)
吊顶装饰,diàodǐng zhuāngshì,Ceiling Decoration,การตกแต่งฝ้าเพดาน (ceiling decoration)
室内装饰子系统,shì nèi zhuāng shì zǐ xì tǒng,Interior Fit-out Subsystem,ระบบย่อยงานตกแต่งภายใน
隔断装饰,géduàn zhuāngshì,Partition Decoration,การตกแต่งผนังกั้น (partition decoration)
机柜子系统,jī guì zǐ xì tǒng,Rack Subsystem,ระบบย่อยตู้แร็ค
空气采样管,kōng qì cǎi yàng guǎn,"Air Sampling Tube (VESDA component, NOT part of smoke control/exhaust system)",ท่อเก็บตัวอย่างอากาศ (ส่วนประกอบของ VESDA ไม่ใช่ระบบควบคุม/ระบายควัน)
灭火剂钢瓶组,miè huǒ jì gāng píng zǔ,Extinguishing Agent Cylinder Group,ชุดถังบรรจุสารดับเพลิง
气体灭火控制器,qì tǐ miè huǒ kòng zhì qì,Gas Extinguishing Controller,ตัวควบคุมระบบดับเพลิงด้วยแก๊ส
感温探测器,gǎnwēn tàncèqì,Heat Detector,อุปกรณ์ตรวจจับความร้อน (heat detector)
七氟丙烷灭火剂,qīfú bǐngwán mièhuǒjì,Heptafluoropropane Extinguishing Agent,"สารดับเพลิงเฮปตะฟลูออโรโพรเพน (Heptafluoropropane, FM-200)"
防排烟系统组成（加压送风机、排烟口、风道）,"fáng pái yān xì tǒng zǔ chéng (jiā yā sòng fēng jī, pái yān kǒu, fēng dào)","Smoke Control and Exhaust System Components (Pressurization Fan, Smoke Exhaust Vent, Air Duct)","องค์ประกอบระบบควบคุมและระบายควัน (พัดลมอัดอากาศ, ช่องระบายควัน, ท่อลม)"
排烟口（排烟阀）,páiyānkǒu (páiyān fá),Smoke Vent (Smoke Valve),ช่องระบายควัน (smoke vent/valve)
启动装置（消防系统）,qǐdòng zhuāngzhì (xiāofáng xìtǒng),Start Device (Fire System),อุปกรณ์เริ่มทำงานระบบดับเพลิง (start device)
骨干（垂直）子系统,gǔgàn (chuízhí) zǐxìtǒng,Backbone Subsystem,ระบบย่อยสายหลัก/แนวดิ่ง (backbone subsystem)
